variable1,operator,variable2,result,difficulty_level
10,*,71,710,easy
1,*,75,75,easy
1,*,95,95,easy
10,*,27,270,easy
10,*,65,650,easy
0,*,31,0,easy
10,*,36,360,easy
0,*,25,0,easy
10,*,43,430,easy
0,*,11,0,easy
10,*,3,30,easy
1,*,52,52,easy
0,*,1,0,easy
0,*,91,0,easy
1,*,92,92,easy
1,*,60,60,easy
1,*,84,84,easy
1,*,79,79,easy
0,*,37,0,easy
0,*,73,0,easy
0,*,9,0,easy
10,*,28,280,easy
1,*,2,2,easy
1,*,11,11,easy
10,*,78,780,easy
10,*,84,840,easy
1,*,99,99,easy
0,*,13,0,easy
1,*,94,94,easy
1,*,85,85,easy
1,*,40,40,easy
10,*,10,100,easy
10,*,96,960,easy
0,*,94,0,easy
10,*,61,610,easy
10,*,45,450,easy
0,*,74,0,easy
0,*,92,0,easy
1,*,88,88,easy
10,*,63,630,easy
10,*,59,590,easy
1,*,10,10,easy
10,*,90,900,easy
0,*,49,0,easy
1,*,37,37,easy
10,*,40,400,easy
0,*,38,0,easy
0,*,66,0,easy
1,*,90,90,easy
10,*,48,480,easy
10,*,20,200,easy
0,*,4,0,easy
0,*,53,0,easy
0,*,48,0,easy
10,*,18,180,easy
10,*,4,40,easy
1,*,70,70,easy
0,*,16,0,easy
10,*,70,700,easy
0,*,97,0,easy
0,*,7,0,easy
1,*,74,74,easy
0,*,22,0,easy
10,*,12,120,easy
10,*,79,790,easy
1,*,8,8,easy
1,*,36,36,easy
0,*,88,0,easy
10,*,14,140,easy
10,*,38,380,easy
0,*,85,0,easy
0,*,35,0,easy
1,*,87,87,easy
10,*,42,420,easy
1,*,39,39,easy
1,*,83,83,easy
1,*,23,23,easy
10,*,73,730,easy
1,*,31,31,easy
0,*,61,0,easy
1,*,89,89,easy
10,*,19,190,easy
1,*,24,24,easy
10,*,35,350,easy
10,*,93,930,easy
1,*,78,78,easy
0,*,21,0,easy
1,*,76,76,easy
1,*,0,0,easy
0,*,36,0,easy
10,*,74,740,easy
0,*,44,0,easy
0,*,69,0,easy
1,*,4,4,easy
0,*,70,0,easy
1,*,3,3,easy
10,*,23,230,easy
10,*,92,920,easy
10,*,47,470,easy
1,*,30,30,easy
0,*,32,0,easy
10,*,76,760,easy
10,*,11,110,easy
10,*,68,680,easy
0,*,86,0,easy
1,*,47,47,easy
1,*,53,53,easy
1,*,98,98,easy
10,*,85,850,easy
10,*,91,910,easy
0,*,24,0,easy
1,*,54,54,easy
10,*,67,670,easy
1,*,12,12,easy
1,*,15,15,easy
0,*,82,0,easy
10,*,75,750,easy
0,*,3,0,easy
1,*,57,57,easy
1,*,46,46,easy
10,*,56,560,easy
10,*,62,620,easy
10,*,29,290,easy
1,*,68,68,easy
1,*,21,21,easy
0,*,15,0,easy
1,*,45,45,easy
1,*,80,80,easy
0,*,29,0,easy
0,*,39,0,easy
1,*,93,93,easy
1,*,42,42,easy
4,*,9,36,easy-medium
3,*,9,27,easy-medium
5,*,2,10,easy-medium
2,*,7,14,easy-medium
4,*,5,20,easy-medium
2,*,4,8,easy-medium
2,*,8,16,easy-medium
3,*,5,15,easy-medium
3,*,7,21,easy-medium
2,*,6,12,easy-medium
2,*,5,10,easy-medium
4,*,7,28,easy-medium
4,*,3,12,easy-medium
4,*,2,8,easy-medium
5,*,4,20,easy-medium
5,*,6,30,easy-medium
3,*,3,9,easy-medium
5,*,7,35,easy-medium
3,*,6,18,easy-medium
4,*,6,24,easy-medium
2,*,3,6,easy-medium
3,*,8,24,easy-medium
5,*,5,25,easy-medium
5,*,3,15,easy-medium
4,*,8,32,easy-medium
5,*,9,45,easy-medium
5,*,8,40,easy-medium
4,*,4,16,easy-medium
2,*,2,4,easy-medium
2,*,9,18,easy-medium
3,*,4,12,easy-medium
3,*,2,6,easy-medium
9,*,9,81,medium
6,*,6,36,medium
7,*,8,56,medium
8,*,9,72,medium
9,*,8,72,medium
6,*,8,48,medium
6,*,9,54,medium
8,*,8,64,medium
8,*,6,48,medium
7,*,7,49,medium
7,*,9,63,medium
9,*,7,63,medium
6,*,7,42,medium
9,*,6,54,medium
7,*,6,42,medium
8,*,7,56,medium
3,*,13,39,medium-hard
2,*,20,40,medium-hard
4,*,15,60,medium-hard
3,*,17,51,medium-hard
3,*,14,42,medium-hard
4,*,17,68,medium-hard
4,*,19,76,medium-hard
4,*,11,44,medium-hard
3,*,16,48,medium-hard
2,*,14,28,medium-hard
5,*,20,100,medium-hard
4,*,18,72,medium-hard
2,*,15,30,medium-hard
2,*,19,38,medium-hard
4,*,13,52,medium-hard
3,*,19,57,medium-hard
4,*,14,56,medium-hard
5,*,11,55,medium-hard
2,*,16,32,medium-hard
2,*,17,34,medium-hard
5,*,16,80,medium-hard
5,*,17,85,medium-hard
4,*,20,80,medium-hard
4,*,12,48,medium-hard
5,*,14,70,medium-hard
5,*,12,60,medium-hard
5,*,13,65,medium-hard
3,*,15,45,medium-hard
2,*,18,36,medium-hard
3,*,18,54,medium-hard
2,*,12,24,medium-hard
3,*,12,36,medium-hard
2,*,13,26,medium-hard
3,*,11,33,medium-hard
5,*,18,90,medium-hard
5,*,15,75,medium-hard
4,*,16,64,medium-hard
2,*,11,22,medium-hard
5,*,19,95,medium-hard
3,*,20,60,medium-hard
7,*,13,91,hard
8,*,96,768,hard
4,*,45,180,hard
3,*,65,195,hard
6,*,97,582,hard
5,*,88,440,hard
7,*,27,189,hard
5,*,73,365,hard
8,*,24,192,hard
3,*,60,180,hard
2,*,96,192,hard
5,*,56,280,hard
6,*,44,264,hard
4,*,50,200,hard
7,*,74,518,hard
3,*,74,222,hard
4,*,51,204,hard
7,*,36,252,hard
6,*,36,216,hard
5,*,61,305,hard
5,*,49,245,hard
8,*,82,656,hard
7,*,54,378,hard
9,*,78,702,hard
6,*,53,318,hard
2,*,82,164,hard
7,*,48,336,hard
3,*,21,63,hard
7,*,60,420,hard
6,*,23,138,hard
4,*,74,296,hard
7,*,90,630,hard
3,*,29,87,hard
7,*,42,294,hard
4,*,44,176,hard
4,*,47,188,hard
9,*,25,225,hard
5,*,89,445,hard
8,*,54,432,hard
2,*,63,126,hard
9,*,12,108,hard
4,*,88,352,hard
6,*,28,168,hard
2,*,37,74,hard
2,*,88,176,hard
6,*,45,270,hard
6,*,70,420,hard
6,*,66,396,hard
8,*,66,528,hard
4,*,32,128,hard
9,*,84,756,hard
7,*,87,609,hard
5,*,63,315,hard
5,*,22,110,hard
7,*,92,644,hard
3,*,86,258,hard
2,*,42,84,hard
8,*,76,608,hard
9,*,63,567,hard
2,*,95,190,hard
8,*,12,96,hard
3,*,80,240,hard
4,*,69,276,hard
5,*,40,200,hard
6,*,29,174,hard
8,*,21,168,hard
4,*,83,332,hard
9,*,99,891,hard
8,*,51,408,hard
3,*,32,96,hard
2,*,85,170,hard
3,*,96,288,hard
5,*,64,320,hard
3,*,70,210,hard
9,*,13,117,hard
3,*,93,279,hard
4,*,34,136,hard
3,*,99,297,hard
6,*,49,294,hard
6,*,42,252,hard
3,*,31,93,hard
6,*,71,426,hard
2,*,54,108,hard
2,*,53,106,hard
3,*,45,135,hard
9,*,91,819,hard
7,*,50,350,hard
3,*,41,123,hard
2,*,55,110,hard
5,*,94,470,hard
6,*,14,84,hard
6,*,87,522,hard
9,*,42,378,hard
3,*,85,255,hard
8,*,60,480,hard
7,*,67,469,hard
4,*,57,228,hard
6,*,19,114,hard
3,*,46,138,hard
4,*,89,356,hard
2,*,30,60,hard
8,*,71,568,hard
7,*,32,224,hard
2,*,40,80,hard
4,*,60,240,hard
3,*,97,291,hard
6,*,32,192,hard
6,*,72,432,hard
3,*,25,75,hard
2,*,31,62,hard
3,*,73,219,hard
5,*,39,195,hard
3,*,27,81,hard
9,*,43,387,hard
5,*,74,370,hard
5,*,81,405,hard
7,*,94,658,hard
8,*,49,392,hard
3,*,57,171,hard
4,*,70,280,hard
6,*,33,198,hard
7,*,72,504,hard
4,*,96,384,hard
9,*,80,720,hard
8,*,90,720,hard
2,*,81,162,hard
2,*,71,142,hard
9,*,18,162,hard
8,*,86,688,hard
3,*,59,177,hard
4,*,99,396,hard
9,*,20,180,hard
4,*,54,216,hard
6,*,59,354,hard
2,*,46,92,hard
7,*,20,140,hard
2,*,86,172,hard
4,*,67,268,hard
3,*,24,72,hard
5,*,87,435,hard
6,*,99,594,hard
9,*,38,342,hard
8,*,61,488,hard
3,*,55,165,hard
9,*,11,99,hard
9,*,73,657,hard
2,*,48,96,hard
7,*,85,595,hard
4,*,77,308,hard
8,*,16,128,hard
7,*,75,525,hard
5,*,60,300,hard
4,*,52,208,hard
4,*,22,88,hard
4,*,85,340,hard
9,*,22,198,hard
6,*,13,78,hard
8,*,43,344,hard
2,*,47,94,hard
8,*,18,144,hard
4,*,30,120,hard
7,*,12,84,hard
5,*,65,325,hard
3,*,51,153,hard
5,*,76,380,hard
5,*,93,465,hard
5,*,80,400,hard
3,*,37,111,hard
7,*,18,126,hard
8,*,48,384,hard
7,*,46,322,hard
5,*,83,415,hard
2,*,57,114,hard
6,*,75,450,hard
6,*,78,468,hard
3,*,39,117,hard
6,*,81,486,hard
9,*,83,747,hard
4,*,25,100,hard
9,*,36,324,hard
8,*,39,312,hard
7,*,91,637,hard
7,*,29,203,hard
2,*,76,152,hard
8,*,46,368,hard
5,*,53,265,hard
4,*,97,388,hard
2,*,65,130,hard
4,*,49,196,hard
4,*,86,344,hard
5,*,45,225,hard
3,*,26,78,hard
7,*,25,175,hard
8,*,38,304,hard
5,*,98,490,hard
4,*,71,284,hard
8,*,65,520,hard
9,*,54,486,hard
6,*,79,474,hard
3,*,94,282,hard
7,*,82,574,hard
6,*,50,300,hard
8,*,87,696,hard
6,*,73,438,hard
9,*,87,783,hard
8,*,69,552,hard
5,*,36,180,hard
3,*,56,168,hard
3,*,87,261,hard
2,*,41,82,hard
8,*,58,464,hard
5,*,29,145,hard
6,*,55,330,hard
8,*,83,664,hard
8,*,22,176,hard
4,*,68,272,hard
6,*,83,498,hard
7,*,30,210,hard
4,*,39,156,hard
7,*,37,259,hard
2,*,67,134,hard
7,*,51,357,hard
5,*,30,150,hard
2,*,50,100,hard
2,*,33,66,hard
8,*,53,424,hard
7,*,77,539,hard
6,*,57,342,hard
8,*,63,504,hard
6,*,65,390,hard
5,*,35,175,hard
8,*,17,136,hard
4,*,98,392,hard
3,*,89,267,hard
3,*,61,183,hard
8,*,72,576,hard
7,*,83,581,hard
6,*,15,90,hard
8,*,27,216,hard
2,*,69,138,hard
2,*,78,156,hard
6,*,84,504,hard
7,*,65,455,hard
7,*,84,588,hard
9,*,58,522,hard
9,*,61,549,hard
5,*,69,345,hard
7,*,78,546,hard
6,*,76,456,hard
9,*,14,126,hard
5,*,27,135,hard
3,*,58,174,hard
3,*,62,186,hard
9,*,95,855,hard
7,*,16,112,hard
9,*,75,675,hard
2,*,23,46,hard
2,*,70,140,hard
4,*,48,192,hard
5,*,97,485,hard
6,*,51,306,hard
4,*,73,292,hard
6,*,21,126,hard
9,*,47,423,hard
5,*,23,115,hard
8,*,94,752,hard
3,*,63,189,hard
9,*,79,711,hard
7,*,52,364,hard
7,*,40,280,hard
3,*,91,273,hard
2,*,56,112,hard
8,*,64,512,hard
2,*,80,160,hard
2,*,66,132,hard
6,*,58,348,hard
3,*,72,216,hard
3,*,44,132,hard
9,*,35,315,hard
3,*,82,246,hard
5,*,59,295,hard
4,*,58,232,hard
7,*,66,462,hard
7,*,80,560,hard
6,*,17,102,hard
8,*,81,648,hard
2,*,44,88,hard
8,*,37,296,hard
9,*,55,495,hard
9,*,94,846,hard
9,*,39,351,hard
9,*,16,144,hard
6,*,61,366,hard
6,*,12,72,hard
6,*,86,516,hard
9,*,41,369,hard
9,*,70,630,hard
4,*,59,236,hard
6,*,24,144,hard
8,*,77,616,hard
2,*,24,48,hard
6,*,88,528,hard
3,*,34,102,hard
2,*,89,178,hard
4,*,79,316,hard
8,*,67,536,hard
2,*,93,186,hard
3,*,90,270,hard
7,*,61,427,hard
8,*,62,496,hard
7,*,57,399,hard
3,*,40,120,hard
3,*,68,204,hard
6,*,77,462,hard
9,*,27,243,hard
5,*,51,255,hard
4,*,53,212,hard
8,*,74,592,hard
6,*,80,480,hard
3,*,43,129,hard
5,*,95,475,hard
5,*,33,165,hard
6,*,54,324,hard
9,*,52,468,hard
9,*,26,234,hard
4,*,55,220,hard
6,*,16,96,hard
9,*,62,558,hard
3,*,36,108,hard
4,*,56,224,hard
2,*,51,102,hard
3,*,66,198,hard
6,*,25,150,hard
3,*,42,126,hard
3,*,88,264,hard
5,*,41,205,hard
7,*,99,693,hard
6,*,68,408,hard
2,*,62,124,hard
3,*,77,231,hard
6,*,63,378,hard
5,*,71,355,hard
6,*,93,558,hard
3,*,38,114,hard
2,*,73,146,hard
9,*,44,396,hard
2,*,74,148,hard
4,*,84,336,hard
6,*,62,372,hard
7,*,15,105,hard
8,*,50,400,hard
9,*,77,693,hard
8,*,26,208,hard
8,*,34,272,hard
9,*,30,270,hard
2,*,84,168,hard
8,*,75,600,hard
9,*,23,207,hard
4,*,62,248,hard
7,*,62,434,hard
8,*,32,256,hard
6,*,95,570,hard
7,*,97,679,hard
9,*,56,504,hard
9,*,29,261,hard
5,*,37,185,hard
8,*,84,672,hard
9,*,64,576,hard
7,*,24,168,hard
2,*,34,68,hard
9,*,92,828,hard
9,*,85,765,hard
8,*,41,328,hard
3,*,23,69,hard
5,*,42,210,hard
7,*,22,154,hard
2,*,25,50,hard
2,*,94,188,hard
7,*,81,567,hard
2,*,60,120,hard
5,*,68,340,hard
9,*,69,621,hard
7,*,34,238,hard
3,*,50,150,hard
4,*,38,152,hard
9,*,96,864,hard
7,*,70,490,hard
5,*,26,130,hard
7,*,58,406,hard
3,*,92,276,hard
3,*,30,90,hard
2,*,91,182,hard
8,*,25,200,hard
8,*,97,776,hard
6,*,48,288,hard
5,*,70,350,hard
2,*,49,98,hard
4,*,78,312,hard
8,*,13,104,hard
7,*,44,308,hard
3,*,33,99,hard
6,*,92,552,hard
8,*,89,712,hard
3,*,71,213,hard
6,*,40,240,hard
4,*,91,364,hard
8,*,55,440,hard
8,*,73,584,hard
4,*,26,104,hard
7,*,17,119,hard
4,*,33,132,hard
3,*,95,285,hard
9,*,33,297,hard
3,*,28,84,hard
8,*,15,120,hard
8,*,92,736,hard
3,*,78,234,hard
5,*,25,125,hard
4,*,64,256,hard
7,*,89,623,hard
9,*,66,594,hard
5,*,38,190,hard
4,*,36,144,hard
5,*,86,430,hard
8,*,80,640,hard
5,*,32,160,hard
5,*,48,240,hard
9,*,82,738,hard
9,*,31,279,hard
9,*,60,540,hard
9,*,93,837,hard
4,*,29,116,hard
3,*,98,294,hard
4,*,94,376,hard
6,*,96,576,hard
2,*,39,78,hard
3,*,64,192,hard
2,*,45,90,hard
9,*,57,513,hard
6,*,98,588,hard
7,*,96,672,hard
2,*,36,72,hard
2,*,28,56,hard
3,*,67,201,hard
9,*,81,729,hard
9,*,90,810,hard
7,*,79,553,hard
3,*,84,252,hard
8,*,98,784,hard
9,*,68,612,hard
9,*,71,639,hard
6,*,11,66,hard
5,*,72,360,hard
5,*,21,105,hard
5,*,78,390,hard
5,*,62,310,hard
2,*,75,150,hard
9,*,88,792,hard
3,*,79,237,hard
8,*,29,232,hard
9,*,32,288,hard
2,*,90,180,hard
5,*,84,420,hard
4,*,90,360,hard
7,*,31,217,hard
2,*,61,122,hard
8,*,99,792,hard
2,*,21,42,hard
4,*,28,112,hard
8,*,20,160,hard
2,*,52,104,hard
8,*,95,760,hard
7,*,33,231,hard
4,*,42,168,hard
4,*,21,84,hard
8,*,19,152,hard
5,*,31,155,hard
2,*,98,196,hard
9,*,86,774,hard
7,*,63,441,hard
7,*,26,182,hard
6,*,74,444,hard
5,*,77,385,hard
4,*,40,160,hard
6,*,85,510,hard
9,*,48,432,hard
8,*,68,544,hard
3,*,48,144,hard
6,*,30,180,hard
2,*,26,52,hard
6,*,94,564,hard
6,*,47,282,hard
2,*,99,198,hard
8,*,79,632,hard
2,*,97,194,hard
4,*,35,140,hard
3,*,53,159,hard
4,*,63,252,hard
4,*,27,108,hard
4,*,65,260,hard
8,*,52,416,hard
3,*,35,105,hard
7,*,49,343,hard
8,*,93,744,hard
6,*,56,336,hard
9,*,34,306,hard
2,*,29,58,hard
7,*,68,476,hard
5,*,67,335,hard
2,*,43,86,hard
5,*,46,230,hard
9,*,17,153,hard
5,*,92,460,hard
9,*,59,531,hard
8,*,85,680,hard
7,*,95,665,hard
8,*,56,448,hard
7,*,86,602,hard
7,*,47,329,hard
35,*,68,2380,advanced
74,*,66,4884,advanced
74,*,88,6512,advanced
99,*,79,7821,advanced
33,*,63,2079,advanced
26,*,94,2444,advanced
26,*,18,468,advanced
36,*,43,1548,advanced
95,*,30,2850,advanced
48,*,19,912,advanced
80,*,76,6080,advanced
87,*,13,1131,advanced
76,*,23,1748,advanced
74,*,81,5994,advanced
84,*,80,6720,advanced
15,*,60,900,advanced
47,*,39,1833,advanced
75,*,62,4650,advanced
70,*,91,6370,advanced
27,*,73,1971,advanced
50,*,99,4950,advanced
49,*,50,2450,advanced
59,*,42,2478,advanced
30,*,56,1680,advanced
61,*,60,3660,advanced
34,*,44,1496,advanced
12,*,39,468,advanced
72,*,77,5544,advanced
97,*,24,2328,advanced
18,*,23,414,advanced
15,*,42,630,advanced
47,*,54,2538,advanced
86,*,20,1720,advanced
32,*,89,2848,advanced
11,*,56,616,advanced
68,*,94,6392,advanced
97,*,15,1455,advanced
57,*,74,4218,advanced
48,*,77,3696,advanced
62,*,28,1736,advanced
15,*,23,345,advanced
24,*,84,2016,advanced
51,*,34,1734,advanced
14,*,51,714,advanced
14,*,13,182,advanced
98,*,82,8036,advanced
68,*,85,5780,advanced
12,*,81,972,advanced
53,*,84,4452,advanced
62,*,88,5456,advanced
13,*,61,793,advanced
85,*,64,5440,advanced
24,*,21,504,advanced
65,*,98,6370,advanced
51,*,71,3621,advanced
61,*,53,3233,advanced
50,*,74,3700,advanced
34,*,49,1666,advanced
35,*,98,3430,advanced
92,*,67,6164,advanced
72,*,26,1872,advanced
24,*,79,1896,advanced
22,*,40,880,advanced
95,*,11,1045,advanced
57,*,17,969,advanced
79,*,24,1896,advanced
38,*,89,3382,advanced
25,*,77,1925,advanced
35,*,46,1610,advanced
52,*,55,2860,advanced
43,*,46,1978,advanced
13,*,28,364,advanced
61,*,66,4026,advanced
85,*,24,2040,advanced
23,*,72,1656,advanced
92,*,39,3588,advanced
97,*,65,6305,advanced
86,*,85,7310,advanced
76,*,66,5016,advanced
50,*,91,4550,advanced
37,*,74,2738,advanced
45,*,41,1845,advanced
43,*,44,1892,advanced
25,*,96,2400,advanced
23,*,18,414,advanced
54,*,96,5184,advanced
25,*,44,1100,advanced
77,*,56,4312,advanced
74,*,28,2072,advanced
70,*,82,5740,advanced
90,*,70,6300,advanced
85,*,33,2805,advanced
24,*,85,2040,advanced
80,*,38,3040,advanced
34,*,50,1700,advanced
77,*,50,3850,advanced
34,*,95,3230,advanced
23,*,57,1311,advanced
82,*,67,5494,advanced
60,*,21,1260,advanced
69,*,51,3519,advanced
80,*,80,6400,advanced
77,*,86,6622,advanced
33,*,54,1782,advanced
43,*,16,688,advanced
85,*,83,7055,advanced
31,*,31,961,advanced
20,*,17,340,advanced
61,*,39,2379,advanced
65,*,56,3640,advanced
91,*,27,2457,advanced
12,*,37,444,advanced
69,*,82,5658,advanced
71,*,25,1775,advanced
58,*,21,1218,advanced
63,*,94,5922,advanced
33,*,38,1254,advanced
36,*,94,3384,advanced
17,*,89,1513,advanced
40,*,56,2240,advanced
93,*,37,3441,advanced
41,*,63,2583,advanced
48,*,93,4464,advanced
17,*,74,1258,advanced
95,*,12,1140,advanced
13,*,91,1183,advanced
54,*,17,918,advanced
94,*,31,2914,advanced
79,*,86,6794,advanced
55,*,50,2750,advanced
50,*,39,1950,advanced
76,*,75,5700,advanced
19,*,44,836,advanced
27,*,87,2349,advanced
17,*,49,833,advanced
17,*,80,1360,advanced
44,*,43,1892,advanced
57,*,86,4902,advanced
90,*,87,7830,advanced
19,*,16,304,advanced
87,*,46,4002,advanced
64,*,23,1472,advanced
82,*,41,3362,advanced
32,*,58,1856,advanced
26,*,38,988,advanced
70,*,49,3430,advanced
80,*,41,3280,advanced
71,*,67,4757,advanced
82,*,11,902,advanced
76,*,89,6764,advanced
24,*,75,1800,advanced
80,*,82,6560,advanced
37,*,48,1776,advanced
17,*,81,1377,advanced
35,*,39,1365,advanced
32,*,40,1280,advanced
98,*,24,2352,advanced
97,*,63,6111,advanced
54,*,87,4698,advanced
62,*,48,2976,advanced
21,*,12,252,advanced
13,*,98,1274,advanced
26,*,58,1508,advanced
85,*,41,3485,advanced
91,*,94,8554,advanced
33,*,28,924,advanced
17,*,53,901,advanced
58,*,38,2204,advanced
68,*,20,1360,advanced
85,*,56,4760,advanced
14,*,77,1078,advanced
56,*,64,3584,advanced
38,*,47,1786,advanced
17,*,97,1649,advanced
66,*,87,5742,advanced
18,*,63,1134,advanced
64,*,54,3456,advanced
45,*,56,2520,advanced
33,*,61,2013,advanced
54,*,19,1026,advanced
87,*,11,957,advanced
73,*,39,2847,advanced
36,*,42,1512,advanced
30,*,83,2490,advanced
56,*,13,728,advanced
57,*,63,3591,advanced
78,*,18,1404,advanced
79,*,57,4503,advanced
29,*,91,2639,advanced
60,*,74,4440,advanced
83,*,14,1162,advanced
48,*,50,2400,advanced
99,*,93,9207,advanced
24,*,14,336,advanced
13,*,99,1287,advanced
98,*,55,5390,advanced
74,*,80,5920,advanced
14,*,87,1218,advanced
34,*,16,544,advanced
37,*,38,1406,advanced
93,*,75,6975,advanced
34,*,76,2584,advanced
60,*,70,4200,advanced
27,*,26,702,advanced
14,*,66,924,advanced
15,*,70,1050,advanced
35,*,71,2485,advanced
71,*,57,4047,advanced
39,*,84,3276,advanced
76,*,49,3724,advanced
71,*,17,1207,advanced
24,*,41,984,advanced
66,*,90,5940,advanced
13,*,92,1196,advanced
90,*,16,1440,advanced
89,*,59,5251,advanced
40,*,29,1160,advanced
77,*,49,3773,advanced
40,*,92,3680,advanced
29,*,28,812,advanced
55,*,40,2200,advanced
22,*,72,1584,advanced
46,*,66,3036,advanced
73,*,62,4526,advanced
44,*,60,2640,advanced
81,*,51,4131,advanced
68,*,55,3740,advanced
12,*,31,372,advanced
81,*,50,4050,advanced
53,*,31,1643,advanced
18,*,98,1764,advanced
51,*,26,1326,advanced
43,*,60,2580,advanced
73,*,73,5329,advanced
17,*,24,408,advanced
56,*,67,3752,advanced
41,*,45,1845,advanced
94,*,77,7238,advanced
59,*,85,5015,advanced
52,*,61,3172,advanced
16,*,79,1264,advanced
79,*,76,6004,advanced
19,*,97,1843,advanced
51,*,55,2805,advanced
80,*,75,6000,advanced
89,*,92,8188,advanced
31,*,47,1457,advanced
77,*,53,4081,advanced
68,*,28,1904,advanced
43,*,47,2021,advanced
46,*,34,1564,advanced
59,*,30,1770,advanced
99,*,36,3564,advanced
50,*,95,4750,advanced
32,*,59,1888,advanced
59,*,22,1298,advanced
65,*,14,910,advanced
75,*,35,2625,advanced
14,*,86,1204,advanced
49,*,36,1764,advanced
84,*,77,6468,advanced
11,*,70,770,advanced
43,*,66,2838,advanced
13,*,25,325,advanced
88,*,51,4488,advanced
78,*,62,4836,advanced
42,*,28,1176,advanced
44,*,52,2288,advanced
85,*,96,8160,advanced
58,*,69,4002,advanced
92,*,85,7820,advanced
93,*,56,5208,advanced
37,*,77,2849,advanced
65,*,41,2665,advanced
82,*,80,6560,advanced
61,*,22,1342,advanced
61,*,55,3355,advanced
88,*,62,5456,advanced
15,*,39,585,advanced
87,*,27,2349,advanced
86,*,13,1118,advanced
13,*,17,221,advanced
96,*,27,2592,advanced
92,*,79,7268,advanced
54,*,35,1890,advanced
67,*,35,2345,advanced
50,*,86,4300,advanced
89,*,90,8010,advanced
51,*,14,714,advanced
75,*,20,1500,advanced
97,*,80,7760,advanced
58,*,71,4118,advanced
92,*,72,6624,advanced
91,*,29,2639,advanced
38,*,74,2812,advanced
84,*,83,6972,advanced
56,*,39,2184,advanced
55,*,71,3905,advanced
35,*,65,2275,advanced
61,*,62,3782,advanced
