variable1,operator,variable2,result,difficulty_level
70,|,1,70.0,easy
96,|,96,1.0,easy
24,|,24,1.0,easy
25,|,25,1.0,easy
51,|,1,51.0,easy
98,|,98,1.0,easy
3,|,1,3.0,easy
85,|,85,1.0,easy
44,|,1,44.0,easy
2,|,2,1.0,easy
97,|,97,1.0,easy
88,|,1,88.0,easy
47,|,1,47.0,easy
94,|,94,1.0,easy
59,|,1,59.0,easy
38,|,1,38.0,easy
81,|,81,1.0,easy
72,|,1,72.0,easy
15,|,1,15.0,easy
88,|,88,1.0,easy
21,|,21,1.0,easy
43,|,43,1.0,easy
49,|,1,49.0,easy
27,|,1,27.0,easy
28,|,28,1.0,easy
0,|,9,0.0,easy
35,|,35,1.0,easy
55,|,55,1.0,easy
8,|,1,8.0,easy
67,|,67,1.0,easy
54,|,1,54.0,easy
91,|,91,1.0,easy
92,|,92,1.0,easy
24,|,1,24.0,easy
51,|,51,1.0,easy
10,|,1,10.0,easy
80,|,1,80.0,easy
58,|,1,58.0,easy
56,|,56,1.0,easy
62,|,62,1.0,easy
14,|,14,1.0,easy
16,|,16,1.0,easy
42,|,1,42.0,easy
42,|,42,1.0,easy
95,|,1,95.0,easy
37,|,1,37.0,easy
48,|,1,48.0,easy
60,|,1,60.0,easy
62,|,1,62.0,easy
82,|,1,82.0,easy
69,|,69,1.0,easy
67,|,1,67.0,easy
65,|,65,1.0,easy
3,|,3,1.0,easy
75,|,75,1.0,easy
60,|,60,1.0,easy
99,|,99,1.0,easy
15,|,15,1.0,easy
0,|,48,0.0,easy
27,|,27,1.0,easy
53,|,1,53.0,easy
44,|,44,1.0,easy
50,|,50,1.0,easy
36,|,36,1.0,easy
38,|,38,1.0,easy
84,|,1,84.0,easy
23,|,1,23.0,easy
77,|,77,1.0,easy
56,|,1,56.0,easy
35,|,1,35.0,easy
71,|,71,1.0,easy
5,|,5,1.0,easy
12,|,12,1.0,easy
74,|,74,1.0,easy
64,|,64,1.0,easy
45,|,45,1.0,easy
55,|,1,55.0,easy
12,|,1,12.0,easy
43,|,1,43.0,easy
72,|,72,1.0,easy
94,|,1,94.0,easy
85,|,1,85.0,easy
36,|,1,36.0,easy
37,|,37,1.0,easy
33,|,1,33.0,easy
49,|,49,1.0,easy
93,|,1,93.0,easy
98,|,1,98.0,easy
99,|,1,99.0,easy
0,|,82,0.0,easy
84,|,84,1.0,easy
46,|,1,46.0,easy
8,|,8,1.0,easy
20,|,10,2.0,easy-medium
15,|,5,3.0,easy-medium
20,|,5,4.0,easy-medium
5,|,5,1.0,easy-medium
12,|,2,6.0,easy-medium
45,|,5,9.0,easy-medium
20,|,2,10.0,easy-medium
40,|,10,4.0,easy-medium
4,|,2,2.0,easy-medium
24,|,2,12.0,easy-medium
10,|,10,1.0,easy-medium
44,|,2,22.0,easy-medium
8,|,2,4.0,easy-medium
40,|,5,8.0,easy-medium
35,|,5,7.0,easy-medium
25,|,5,5.0,easy-medium
30,|,10,3.0,easy-medium
38,|,2,19.0,easy-medium
34,|,2,17.0,easy-medium
22,|,2,11.0,easy-medium
30,|,2,15.0,easy-medium
42,|,2,21.0,easy-medium
32,|,2,16.0,easy-medium
14,|,2,7.0,easy-medium
26,|,2,13.0,easy-medium
10,|,5,2.0,easy-medium
16,|,2,8.0,easy-medium
18,|,2,9.0,easy-medium
6,|,2,3.0,easy-medium
46,|,2,23.0,easy-medium
36,|,2,18.0,easy-medium
40,|,2,20.0,easy-medium
48,|,2,24.0,easy-medium
28,|,2,14.0,easy-medium
30,|,5,6.0,easy-medium
2,|,2,1.0,easy-medium
10,|,2,5.0,easy-medium
24,|,3,8.0,medium
24,|,4,6.0,medium
36,|,6,6.0,medium
42,|,7,6.0,medium
40,|,4,10.0,medium
12,|,4,3.0,medium
35,|,7,5.0,medium
42,|,6,7.0,medium
28,|,7,4.0,medium
18,|,3,6.0,medium
14,|,7,2.0,medium
20,|,4,5.0,medium
18,|,6,3.0,medium
49,|,7,7.0,medium
33,|,3,11.0,medium
12,|,3,4.0,medium
48,|,6,8.0,medium
36,|,9,4.0,medium
30,|,3,10.0,medium
32,|,8,4.0,medium
39,|,3,13.0,medium
40,|,8,5.0,medium
48,|,3,16.0,medium
36,|,4,9.0,medium
27,|,3,9.0,medium
24,|,6,4.0,medium
21,|,7,3.0,medium
12,|,6,2.0,medium
45,|,3,15.0,medium
16,|,8,2.0,medium
24,|,8,3.0,medium
48,|,4,12.0,medium
27,|,9,3.0,medium
18,|,9,2.0,medium
28,|,4,7.0,medium
44,|,4,11.0,medium
48,|,8,6.0,medium
30,|,6,5.0,medium
21,|,3,7.0,medium
8,|,4,2.0,medium
36,|,3,12.0,medium
45,|,9,5.0,medium
16,|,4,4.0,medium
9,|,3,3.0,medium
42,|,3,14.0,medium
32,|,4,8.0,medium
15,|,3,5.0,medium
6,|,3,2.0,medium
92,|,2,46.0,medium-hard
60,|,5,12.0,medium-hard
50,|,5,10.0,medium-hard
85,|,5,17.0,medium-hard
70,|,10,7.0,medium-hard
68,|,2,34.0,medium-hard
76,|,2,38.0,medium-hard
84,|,2,42.0,medium-hard
80,|,5,16.0,medium-hard
98,|,2,49.0,medium-hard
80,|,10,8.0,medium-hard
60,|,10,6.0,medium-hard
50,|,2,25.0,medium-hard
75,|,5,15.0,medium-hard
72,|,2,36.0,medium-hard
66,|,2,33.0,medium-hard
50,|,10,5.0,medium-hard
90,|,2,45.0,medium-hard
90,|,5,18.0,medium-hard
86,|,2,43.0,medium-hard
82,|,2,41.0,medium-hard
58,|,2,29.0,medium-hard
74,|,2,37.0,medium-hard
96,|,2,48.0,medium-hard
95,|,5,19.0,medium-hard
88,|,2,44.0,medium-hard
90,|,10,9.0,medium-hard
54,|,2,27.0,medium-hard
65,|,5,13.0,medium-hard
70,|,2,35.0,medium-hard
70,|,5,14.0,medium-hard
94,|,2,47.0,medium-hard
52,|,2,26.0,medium-hard
60,|,2,30.0,medium-hard
56,|,2,28.0,medium-hard
64,|,2,32.0,medium-hard
62,|,2,31.0,medium-hard
78,|,2,39.0,medium-hard
80,|,2,40.0,medium-hard
55,|,5,11.0,medium-hard
80,|,4,20.0,hard
81,|,9,9.0,hard
60,|,4,15.0,hard
64,|,8,8.0,hard
77,|,7,11.0,hard
60,|,6,10.0,hard
90,|,9,10.0,hard
96,|,6,16.0,hard
80,|,8,10.0,hard
93,|,3,31.0,hard
84,|,6,14.0,hard
88,|,8,11.0,hard
63,|,3,21.0,hard
54,|,6,9.0,hard
56,|,7,8.0,hard
56,|,8,7.0,hard
84,|,4,21.0,hard
72,|,3,24.0,hard
66,|,6,11.0,hard
99,|,3,33.0,hard
84,|,3,28.0,hard
81,|,3,27.0,hard
63,|,9,7.0,hard
96,|,3,32.0,hard
92,|,4,23.0,hard
96,|,4,24.0,hard
78,|,3,26.0,hard
54,|,9,6.0,hard
72,|,4,18.0,hard
87,|,3,29.0,hard
51,|,3,17.0,hard
90,|,6,15.0,hard
99,|,9,11.0,hard
70,|,7,10.0,hard
84,|,7,12.0,hard
68,|,4,17.0,hard
69,|,3,23.0,hard
54,|,3,18.0,hard
98,|,7,14.0,hard
90,|,3,30.0,hard
52,|,4,13.0,hard
96,|,8,12.0,hard
72,|,8,9.0,hard
76,|,4,19.0,hard
91,|,7,13.0,hard
63,|,7,9.0,hard
57,|,3,19.0,hard
72,|,6,12.0,hard
78,|,6,13.0,hard
75,|,3,25.0,hard
88,|,4,22.0,hard
64,|,4,16.0,hard
72,|,9,8.0,hard
56,|,4,14.0,hard
60,|,3,20.0,hard
66,|,3,22.0,hard
344,|,8,43.0,advanced
540,|,4,135.0,advanced
774,|,9,86.0,advanced
716,|,2,358.0,advanced
282,|,3,94.0,advanced
978,|,3,326.0,advanced
959,|,7,137.0,advanced
414,|,6,69.0,advanced
560,|,8,70.0,advanced
186,|,6,31.0,advanced
640,|,4,160.0,advanced
651,|,3,217.0,advanced
392,|,8,49.0,advanced
477,|,9,53.0,advanced
320,|,8,40.0,advanced
795,|,5,159.0,advanced
496,|,4,124.0,advanced
448,|,4,112.0,advanced
297,|,9,33.0,advanced
848,|,4,212.0,advanced
668,|,2,334.0,advanced
486,|,2,243.0,advanced
920,|,8,115.0,advanced
372,|,3,124.0,advanced
786,|,6,131.0,advanced
721,|,7,103.0,advanced
575,|,5,115.0,advanced
822,|,2,411.0,advanced
486,|,9,54.0,advanced
354,|,6,59.0,advanced
478,|,2,239.0,advanced
342,|,9,38.0,advanced
714,|,6,119.0,advanced
376,|,2,188.0,advanced
736,|,8,92.0,advanced
445,|,5,89.0,advanced
471,|,3,157.0,advanced
273,|,3,91.0,advanced
994,|,2,497.0,advanced
819,|,9,91.0,advanced
115,|,5,23.0,advanced
993,|,3,331.0,advanced
340,|,4,85.0,advanced
490,|,7,70.0,advanced
416,|,8,52.0,advanced
936,|,4,234.0,advanced
792,|,4,198.0,advanced
707,|,7,101.0,advanced
969,|,3,323.0,advanced
988,|,4,247.0,advanced
786,|,2,393.0,advanced
324,|,4,81.0,advanced
578,|,2,289.0,advanced
648,|,8,81.0,advanced
980,|,7,140.0,advanced
308,|,4,77.0,advanced
486,|,3,162.0,advanced
791,|,7,113.0,advanced
324,|,9,36.0,advanced
710,|,2,355.0,advanced
810,|,6,135.0,advanced
450,|,9,50.0,advanced
738,|,9,82.0,advanced
232,|,8,29.0,advanced
175,|,5,35.0,advanced
500,|,5,100.0,advanced
472,|,8,59.0,advanced
678,|,3,226.0,advanced
573,|,3,191.0,advanced
370,|,5,74.0,advanced
405,|,3,135.0,advanced
846,|,2,423.0,advanced
612,|,6,102.0,advanced
160,|,4,40.0,advanced
432,|,9,48.0,advanced
306,|,3,102.0,advanced
639,|,9,71.0,advanced
410,|,2,205.0,advanced
240,|,3,80.0,advanced
675,|,3,225.0,advanced
495,|,9,55.0,advanced
400,|,8,50.0,advanced
756,|,6,126.0,advanced
693,|,7,99.0,advanced
747,|,9,83.0,advanced
884,|,4,221.0,advanced
475,|,5,95.0,advanced
762,|,6,127.0,advanced
666,|,9,74.0,advanced
155,|,5,31.0,advanced
205,|,5,41.0,advanced
560,|,5,112.0,advanced
900,|,9,100.0,advanced
315,|,9,35.0,advanced
873,|,3,291.0,advanced
561,|,3,187.0,advanced
513,|,3,171.0,advanced
774,|,3,258.0,advanced
504,|,6,84.0,advanced
161,|,7,23.0,advanced
366,|,6,61.0,advanced
354,|,2,177.0,advanced
830,|,5,166.0,advanced
220,|,2,110.0,advanced
848,|,8,106.0,advanced
516,|,3,172.0,advanced
765,|,5,153.0,advanced
460,|,2,230.0,advanced
910,|,7,130.0,advanced
402,|,6,67.0,advanced
301,|,7,43.0,advanced
128,|,4,32.0,advanced
630,|,2,315.0,advanced
504,|,8,63.0,advanced
108,|,9,12.0,advanced
196,|,4,49.0,advanced
416,|,4,104.0,advanced
200,|,4,50.0,advanced
144,|,3,48.0,advanced
276,|,4,69.0,advanced
296,|,4,74.0,advanced
896,|,8,112.0,advanced
556,|,4,139.0,advanced
171,|,9,19.0,advanced
992,|,8,124.0,advanced
336,|,7,48.0,advanced
343,|,7,49.0,advanced
441,|,3,147.0,advanced
756,|,7,108.0,advanced
888,|,6,148.0,advanced
120,|,6,20.0,advanced
960,|,5,192.0,advanced
264,|,4,66.0,advanced
180,|,4,45.0,advanced
828,|,3,276.0,advanced
680,|,5,136.0,advanced
273,|,7,39.0,advanced
468,|,4,117.0,advanced
510,|,6,85.0,advanced
424,|,4,106.0,advanced
897,|,3,299.0,advanced
264,|,8,33.0,advanced
153,|,9,17.0,advanced
996,|,3,332.0,advanced
552,|,8,69.0,advanced
464,|,4,116.0,advanced
144,|,9,16.0,advanced
378,|,3,126.0,advanced
992,|,4,248.0,advanced
210,|,5,42.0,advanced
352,|,8,44.0,advanced
732,|,3,244.0,advanced
602,|,7,86.0,advanced
686,|,7,98.0,advanced
588,|,7,84.0,advanced
591,|,3,197.0,advanced
400,|,4,100.0,advanced
904,|,8,113.0,advanced
870,|,5,174.0,advanced
744,|,8,93.0,advanced
456,|,8,57.0,advanced
480,|,3,160.0,advanced
868,|,7,124.0,advanced
780,|,6,130.0,advanced
184,|,8,23.0,advanced
360,|,9,40.0,advanced
822,|,6,137.0,advanced
288,|,6,48.0,advanced
938,|,7,134.0,advanced
995,|,5,199.0,advanced
720,|,3,240.0,advanced
380,|,4,95.0,advanced
360,|,5,72.0,advanced
204,|,2,102.0,advanced
714,|,7,102.0,advanced
966,|,3,322.0,advanced
630,|,7,90.0,advanced
252,|,6,42.0,advanced
132,|,3,44.0,advanced
756,|,2,378.0,advanced
679,|,7,97.0,advanced
225,|,3,75.0,advanced
594,|,9,66.0,advanced
558,|,2,279.0,advanced
153,|,3,51.0,advanced
808,|,8,101.0,advanced
120,|,2,60.0,advanced
279,|,9,31.0,advanced
364,|,7,52.0,advanced
545,|,5,109.0,advanced
570,|,6,95.0,advanced
290,|,5,58.0,advanced
309,|,3,103.0,advanced
626,|,2,313.0,advanced
256,|,4,64.0,advanced
396,|,9,44.0,advanced
420,|,6,70.0,advanced
546,|,6,91.0,advanced
666,|,6,111.0,advanced
435,|,5,87.0,advanced
312,|,2,156.0,advanced
528,|,8,66.0,advanced
356,|,4,89.0,advanced
404,|,4,101.0,advanced
511,|,7,73.0,advanced
645,|,3,215.0,advanced
576,|,3,192.0,advanced
603,|,9,67.0,advanced
524,|,4,131.0,advanced
408,|,2,204.0,advanced
936,|,8,117.0,advanced
745,|,5,149.0,advanced
420,|,5,84.0,advanced
304,|,8,38.0,advanced
135,|,9,15.0,advanced
507,|,3,169.0,advanced
392,|,7,56.0,advanced
624,|,3,208.0,advanced
970,|,5,194.0,advanced
672,|,8,84.0,advanced
140,|,4,35.0,advanced
245,|,7,35.0,advanced
378,|,9,42.0,advanced
369,|,9,41.0,advanced
610,|,5,122.0,advanced
728,|,4,182.0,advanced
712,|,8,89.0,advanced
720,|,4,180.0,advanced
117,|,9,13.0,advanced
998,|,2,499.0,advanced
603,|,3,201.0,advanced
879,|,3,293.0,advanced
714,|,3,238.0,advanced
560,|,4,140.0,advanced
270,|,5,54.0,advanced
116,|,4,29.0,advanced
387,|,3,129.0,advanced
912,|,8,114.0,advanced
365,|,5,73.0,advanced
903,|,7,129.0,advanced
720,|,8,90.0,advanced
286,|,2,143.0,advanced
936,|,6,156.0,advanced
206,|,2,103.0,advanced
124,|,4,31.0,advanced
792,|,8,99.0,advanced
396,|,3,132.0,advanced
504,|,9,56.0,advanced
918,|,2,459.0,advanced
695,|,5,139.0,advanced
864,|,9,96.0,advanced
448,|,8,56.0,advanced
954,|,6,159.0,advanced
805,|,7,115.0,advanced
801,|,9,89.0,advanced
268,|,4,67.0,advanced
996,|,4,249.0,advanced
404,|,2,202.0,advanced
835,|,5,167.0,advanced
290,|,2,145.0,advanced
729,|,9,81.0,advanced
675,|,5,135.0,advanced
333,|,9,37.0,advanced
434,|,2,217.0,advanced
918,|,9,102.0,advanced
414,|,9,46.0,advanced
186,|,3,62.0,advanced
224,|,8,28.0,advanced
783,|,3,261.0,advanced
698,|,2,349.0,advanced
160,|,8,20.0,advanced
448,|,7,64.0,advanced
972,|,6,162.0,advanced
292,|,2,146.0,advanced
275,|,5,55.0,advanced
392,|,4,98.0,advanced
826,|,7,118.0,advanced
189,|,7,27.0,advanced
525,|,7,75.0,advanced
380,|,5,76.0,advanced
306,|,6,51.0,advanced
706,|,2,353.0,advanced
726,|,6,121.0,advanced
650,|,5,130.0,advanced
858,|,6,143.0,advanced
546,|,7,78.0,advanced
630,|,9,70.0,advanced
672,|,6,112.0,advanced
168,|,3,56.0,advanced
385,|,5,77.0,advanced
306,|,9,34.0,advanced
856,|,8,107.0,advanced
954,|,2,477.0,advanced
432,|,8,54.0,advanced
568,|,4,142.0,advanced
192,|,8,24.0,advanced
147,|,3,49.0,advanced
265,|,5,53.0,advanced
655,|,5,131.0,advanced
777,|,7,111.0,advanced
270,|,9,30.0,advanced
135,|,3,45.0,advanced
976,|,4,244.0,advanced
474,|,3,158.0,advanced
150,|,6,25.0,advanced
384,|,6,64.0,advanced
637,|,7,91.0,advanced
114,|,3,38.0,advanced
711,|,9,79.0,advanced
225,|,9,25.0,advanced
749,|,7,107.0,advanced
495,|,5,99.0,advanced
770,|,5,154.0,advanced
540,|,9,60.0,advanced
800,|,8,100.0,advanced
900,|,6,150.0,advanced
424,|,8,53.0,advanced
165,|,5,33.0,advanced
284,|,4,71.0,advanced
825,|,3,275.0,advanced
755,|,5,151.0,advanced
675,|,9,75.0,advanced
423,|,9,47.0,advanced
616,|,7,88.0,advanced
207,|,3,69.0,advanced
230,|,5,46.0,advanced
288,|,3,96.0,advanced
368,|,4,92.0,advanced
740,|,2,370.0,advanced
430,|,5,86.0,advanced
558,|,9,62.0,advanced
498,|,2,249.0,advanced
539,|,7,77.0,advanced
828,|,4,207.0,advanced
308,|,7,44.0,advanced
948,|,6,158.0,advanced
256,|,8,32.0,advanced
385,|,7,55.0,advanced
726,|,2,363.0,advanced
972,|,9,108.0,advanced
742,|,7,106.0,advanced
480,|,4,120.0,advanced
476,|,7,68.0,advanced
428,|,2,214.0,advanced
232,|,2,116.0,advanced
376,|,4,94.0,advanced
291,|,3,97.0,advanced
234,|,9,26.0,advanced
316,|,2,158.0,advanced
469,|,7,67.0,advanced
920,|,5,184.0,advanced
963,|,9,107.0,advanced
108,|,6,18.0,advanced
312,|,6,52.0,advanced
432,|,2,216.0,advanced
825,|,5,165.0,advanced
870,|,6,145.0,advanced
387,|,9,43.0,advanced
612,|,9,68.0,advanced
980,|,2,490.0,advanced
645,|,5,129.0,advanced
485,|,5,97.0,advanced
528,|,6,88.0,advanced
238,|,7,34.0,advanced
480,|,8,60.0,advanced
294,|,6,49.0,advanced
705,|,3,235.0,advanced
981,|,9,109.0,advanced
344,|,2,172.0,advanced
735,|,5,147.0,advanced
402,|,3,134.0,advanced
908,|,4,227.0,advanced
632,|,2,316.0,advanced
495,|,3,165.0,advanced
135,|,5,27.0,advanced
500,|,2,250.0,advanced
208,|,4,52.0,advanced
303,|,3,101.0,advanced
940,|,4,235.0,advanced
595,|,5,119.0,advanced
584,|,2,292.0,advanced
516,|,6,86.0,advanced
833,|,7,119.0,advanced
532,|,7,76.0,advanced
130,|,5,26.0,advanced
140,|,5,28.0,advanced
441,|,7,63.0,advanced
288,|,9,32.0,advanced
530,|,5,106.0,advanced
597,|,3,199.0,advanced
555,|,5,111.0,advanced
450,|,6,75.0,advanced
207,|,9,23.0,advanced
484,|,2,242.0,advanced
262,|,2,131.0,advanced
532,|,4,133.0,advanced
351,|,3,117.0,advanced
272,|,4,68.0,advanced
735,|,7,105.0,advanced
114,|,2,57.0,advanced
513,|,9,57.0,advanced
612,|,4,153.0,advanced
110,|,5,22.0,advanced
820,|,5,164.0,advanced
114,|,6,19.0,advanced
660,|,4,165.0,advanced
498,|,3,166.0,advanced
927,|,9,103.0,advanced
412,|,4,103.0,advanced
624,|,8,78.0,advanced
966,|,7,138.0,advanced
740,|,5,148.0,advanced
702,|,2,351.0,advanced
832,|,8,104.0,advanced
522,|,3,174.0,advanced
940,|,2,470.0,advanced
635,|,5,127.0,advanced
152,|,4,38.0,advanced
765,|,9,85.0,advanced
504,|,4,126.0,advanced
396,|,2,198.0,advanced
104,|,8,13.0,advanced
885,|,5,177.0,advanced
676,|,2,338.0,advanced
128,|,2,64.0,advanced
350,|,2,175.0,advanced
360,|,4,90.0,advanced
704,|,2,352.0,advanced
465,|,5,93.0,advanced
855,|,9,95.0,advanced
873,|,9,97.0,advanced
840,|,8,105.0,advanced
420,|,7,60.0,advanced
340,|,5,68.0,advanced
486,|,6,81.0,advanced
696,|,8,87.0,advanced
704,|,8,88.0,advanced
620,|,4,155.0,advanced
656,|,4,164.0,advanced
356,|,2,178.0,advanced
891,|,9,99.0,advanced
916,|,4,229.0,advanced
585,|,9,65.0,advanced
952,|,4,238.0,advanced
692,|,2,346.0,advanced
612,|,3,204.0,advanced
280,|,7,40.0,advanced
572,|,2,286.0,advanced
982,|,2,491.0,advanced
964,|,2,482.0,advanced
882,|,2,441.0,advanced
944,|,4,236.0,advanced
548,|,2,274.0,advanced
120,|,5,24.0,advanced
985,|,5,197.0,advanced
804,|,6,134.0,advanced
705,|,5,141.0,advanced
660,|,6,110.0,advanced
414,|,3,138.0,advanced
429,|,3,143.0,advanced
700,|,4,175.0,advanced
616,|,4,154.0,advanced
567,|,9,63.0,advanced
744,|,3,248.0,advanced
678,|,6,113.0,advanced
608,|,4,152.0,advanced
304,|,2,152.0,advanced
300,|,3,100.0,advanced
930,|,3,310.0,advanced
144,|,6,24.0,advanced
681,|,3,227.0,advanced
350,|,7,50.0,advanced
750,|,3,250.0,advanced
120,|,8,15.0,advanced
735,|,3,245.0,advanced
328,|,8,41.0,advanced
792,|,6,132.0,advanced
702,|,6,117.0,advanced
738,|,6,123.0,advanced
630,|,5,126.0,advanced
200,|,8,25.0,advanced
762,|,3,254.0,advanced
688,|,2,344.0,advanced
216,|,9,24.0,advanced
375,|,5,75.0,advanced
768,|,8,96.0,advanced
128,|,8,16.0,advanced
243,|,3,81.0,advanced
425,|,5,85.0,advanced
474,|,2,237.0,advanced
576,|,8,72.0,advanced
558,|,6,93.0,advanced
783,|,9,87.0,advanced
112,|,8,14.0,advanced
990,|,6,165.0,advanced
736,|,2,368.0,advanced
954,|,9,106.0,advanced
184,|,2,92.0,advanced
406,|,7,58.0,advanced
369,|,3,123.0,advanced
504,|,2,252.0,advanced
261,|,9,29.0,advanced
136,|,8,17.0,advanced
973,|,7,139.0,advanced
696,|,4,174.0,advanced
336,|,3,112.0,advanced
931,|,7,133.0,advanced
300,|,4,75.0,advanced
896,|,2,448.0,advanced
132,|,6,22.0,advanced
600,|,8,75.0,advanced
368,|,2,184.0,advanced
459,|,9,51.0,advanced
152,|,8,19.0,advanced
644,|,7,92.0,advanced
340,|,2,170.0,advanced
231,|,7,33.0,advanced
852,|,3,284.0,advanced
978,|,6,163.0,advanced
357,|,3,119.0,advanced
108,|,4,27.0,advanced
198,|,9,22.0,advanced
474,|,6,79.0,advanced
760,|,8,95.0,advanced
618,|,2,309.0,advanced
954,|,3,318.0,advanced
942,|,6,157.0,advanced
720,|,5,144.0,advanced
720,|,9,80.0,advanced
632,|,8,79.0,advanced
316,|,4,79.0,advanced
567,|,7,81.0,advanced
216,|,4,54.0,advanced
390,|,6,65.0,advanced
756,|,3,252.0,advanced
760,|,5,152.0,advanced
420,|,4,105.0,advanced
922,|,2,461.0,advanced
488,|,4,122.0,advanced
975,|,5,195.0,advanced
660,|,5,132.0,advanced
900,|,5,180.0,advanced
944,|,8,118.0,advanced
122,|,2,61.0,advanced
210,|,6,35.0,advanced
470,|,5,94.0,advanced
890,|,5,178.0,advanced
804,|,2,402.0,advanced
384,|,8,48.0,advanced
837,|,9,93.0,advanced
847,|,7,121.0,advanced
180,|,5,36.0,advanced
798,|,3,266.0,advanced
378,|,7,54.0,advanced
105,|,5,21.0,advanced
258,|,6,43.0,advanced
840,|,7,120.0,advanced
986,|,2,493.0,advanced
715,|,5,143.0,advanced
672,|,3,224.0,advanced
862,|,2,431.0,advanced
156,|,6,26.0,advanced
984,|,2,492.0,advanced
308,|,2,154.0,advanced
432,|,6,72.0,advanced
928,|,4,232.0,advanced
450,|,3,150.0,advanced
570,|,5,114.0,advanced
840,|,5,168.0,advanced
230,|,2,115.0,advanced
324,|,3,108.0,advanced
208,|,8,26.0,advanced
344,|,4,86.0,advanced
708,|,2,354.0,advanced
777,|,3,259.0,advanced
390,|,5,78.0,advanced
648,|,4,162.0,advanced
955,|,5,191.0,advanced
280,|,8,35.0,advanced
287,|,7,41.0,advanced
628,|,4,157.0,advanced
753,|,3,251.0,advanced
508,|,2,254.0,advanced
175,|,7,25.0,advanced
351,|,9,39.0,advanced
880,|,5,176.0,advanced
480,|,6,80.0,advanced
531,|,9,59.0,advanced
902,|,2,451.0,advanced
322,|,7,46.0,advanced
940,|,5,188.0,advanced
864,|,6,144.0,advanced
196,|,2,98.0,advanced
774,|,2,387.0,advanced
957,|,3,319.0,advanced
180,|,9,20.0,advanced
386,|,2,193.0,advanced
840,|,6,140.0,advanced
376,|,8,47.0,advanced
652,|,4,163.0,advanced
890,|,2,445.0,advanced
538,|,2,269.0,advanced
450,|,5,90.0,advanced
186,|,2,93.0,advanced
624,|,4,156.0,advanced
581,|,7,83.0,advanced
990,|,9,110.0,advanced
204,|,3,68.0,advanced
476,|,2,238.0,advanced
980,|,4,245.0,advanced
144,|,2,72.0,advanced
981,|,3,327.0,advanced
824,|,8,103.0,advanced
405,|,9,45.0,advanced
338,|,2,169.0,advanced
432,|,4,108.0,advanced
742,|,2,371.0,advanced
815,|,5,163.0,advanced
427,|,7,61.0,advanced
909,|,9,101.0,advanced
763,|,7,109.0,advanced
198,|,3,66.0,advanced
270,|,6,45.0,advanced
790,|,5,158.0,advanced
